"","state","district_num","st_cd_fips"
"1","Alabama","01","0101"
"2","Alabama","02","0102"
"3","Alabama","03","0103"
"4","Alabama","04","0104"
"5","Alabama","05","0105"
"6","Alabama","06","0106"
"7","Alabama","07","0107"
"8","Alaska","00","0200"
"9","Arizona","01","0401"
"10","Arizona","02","0402"
"11","Arizona","03","0403"
"12","Arizona","04","0404"
"13","Arizona","05","0405"
"14","Arizona","06","0406"
"15","Arizona","07","0407"
"16","Arizona","08","0408"
"17","Arizona","09","0409"
"18","Arkansas","01","0501"
"19","Arkansas","02","0502"
"20","Arkansas","03","0503"
"21","Arkansas","04","0504"
"22","California","01","0601"
"23","California","02","0602"
"24","California","03","0603"
"25","California","04","0604"
"26","California","05","0605"
"27","California","06","0606"
"28","California","07","0607"
"29","California","08","0608"
"30","California","09","0609"
"31","California","10","0610"
"32","California","11","0611"
"33","California","12","0612"
"34","California","13","0613"
"35","California","14","0614"
"36","California","15","0615"
"37","California","16","0616"
"38","California","17","0617"
"39","California","18","0618"
"40","California","19","0619"
"41","California","20","0620"
"42","California","21","0621"
"43","California","22","0622"
"44","California","23","0623"
"45","California","24","0624"
"46","California","25","0625"
"47","California","26","0626"
"48","California","27","0627"
"49","California","28","0628"
"50","California","29","0629"
"51","California","30","0630"
"52","California","31","0631"
"53","California","32","0632"
"54","California","33","0633"
"55","California","34","0634"
"56","California","35","0635"
"57","California","36","0636"
"58","California","37","0637"
"59","California","38","0638"
"60","California","39","0639"
"61","California","40","0640"
"62","California","41","0641"
"63","California","42","0642"
"64","California","43","0643"
"65","California","44","0644"
"66","California","45","0645"
"67","California","46","0646"
"68","California","47","0647"
"69","California","48","0648"
"70","California","49","0649"
"71","California","50","0650"
"72","California","51","0651"
"73","California","52","0652"
"74","California","53","0653"
"75","Colorado","01","0801"
"76","Colorado","02","0802"
"77","Colorado","03","0803"
"78","Colorado","04","0804"
"79","Colorado","06","0806"
"80","Colorado","07","0807"
"81","Connecticut","01","0901"
"82","Connecticut","02","0902"
"83","Colorado","05","0805"
"84","Connecticut","03","0903"
"85","Connecticut","04","0904"
"86","Connecticut","05","0905"
"87","Delaware","00","1000"
"88","Florida","01","1201"
"89","Florida","02","1202"
"90","Florida","03","1203"
"91","Florida","04","1204"
"92","Florida","05","1205"
"93","Florida","06","1206"
"94","Florida","07","1207"
"95","Florida","08","1208"
"96","Florida","09","1209"
"97","Florida","10","1210"
"98","Florida","11","1211"
"99","Florida","12","1212"
"100","Florida","13","1213"
"101","Florida","14","1214"
"102","Florida","15","1215"
"103","Florida","16","1216"
"104","Florida","17","1217"
"105","Florida","18","1218"
"106","Florida","19","1219"
"107","Florida","20","1220"
"108","Florida","21","1221"
"109","Florida","22","1222"
"110","Florida","23","1223"
"111","Florida","24","1224"
"112","Florida","25","1225"
"113","Florida","26","1226"
"114","Florida","27","1227"
"115","Georgia","01","1301"
"116","Georgia","02","1302"
"117","Georgia","03","1303"
"118","Georgia","04","1304"
"119","Georgia","05","1305"
"120","Georgia","06","1306"
"121","Georgia","07","1307"
"122","Georgia","08","1308"
"123","Georgia","09","1309"
"124","Georgia","10","1310"
"125","Georgia","11","1311"
"126","Georgia","12","1312"
"127","Georgia","13","1313"
"128","Georgia","14","1314"
"129","Hawaii","01","1501"
"130","Hawaii","02","1502"
"131","Idaho","01","1601"
"132","Idaho","02","1602"
"133","Illinois","01","1701"
"134","Illinois","02","1702"
"135","Illinois","03","1703"
"136","Illinois","04","1704"
"137","Illinois","05","1705"
"138","Illinois","06","1706"
"139","Illinois","07","1707"
"140","Illinois","08","1708"
"141","Illinois","09","1709"
"142","Illinois","10","1710"
"143","Illinois","11","1711"
"144","Illinois","12","1712"
"145","Illinois","13","1713"
"146","Illinois","14","1714"
"147","Illinois","15","1715"
"148","Illinois","16","1716"
"149","Illinois","17","1717"
"150","Illinois","18","1718"
"151","Indiana","01","1801"
"152","Indiana","02","1802"
"153","Indiana","03","1803"
"154","Indiana","04","1804"
"155","Indiana","05","1805"
"156","Indiana","06","1806"
"157","Indiana","07","1807"
"158","Indiana","08","1808"
"159","Indiana","09","1809"
"160","Iowa","02","1902"
"161","Iowa","04","1904"
"162","Kansas","01","2001"
"163","Iowa","01","1901"
"164","Iowa","03","1903"
"165","Kansas","02","2002"
"166","Kansas","03","2003"
"167","Kansas","04","2004"
"168","Kentucky","01","2101"
"169","Kentucky","02","2102"
"170","Kentucky","03","2103"
"171","Kentucky","04","2104"
"172","Kentucky","05","2105"
"173","Kentucky","06","2106"
"174","Louisiana","01","2201"
"175","Louisiana","02","2202"
"176","Louisiana","03","2203"
"177","Louisiana","04","2204"
"178","Louisiana","05","2205"
"179","Louisiana","06","2206"
"180","Maine","01","2301"
"181","Maine","02","2302"
"182","Michigan","07","2607"
"183","Michigan","08","2608"
"184","Michigan","10","2610"
"185","Michigan","12","2612"
"186","Maryland","01","2401"
"187","Maryland","02","2402"
"188","Maryland","03","2403"
"189","Maryland","04","2404"
"190","Maryland","05","2405"
"191","Maryland","06","2406"
