"","year","st_cd_fips","incumb"
"1",2022,"0101",0
"2",2022,"0102",0
"3",2022,"0103",0
"4",2022,"0104",0
"5",2022,"0105",0
"6",2022,"0106",0
"7",2022,"0107",1
"8",2022,"0200",0
"9",2022,"0401",1
"10",2022,"0402",1
"11",2022,"0403",1
"12",2022,"0404",0
"13",2022,"0405",0
"14",2022,"0406",0
"15",2022,"0407",1
"16",2022,"0408",0
"17",2022,"0409",1
"18",2022,"0501",0
"19",2022,"0502",0
"20",2022,"0503",0
"21",2022,"0504",0
"22",2022,"0601",0
"23",2022,"0602",1
"24",2022,"0603",1
"25",2022,"0604",0
"26",2022,"0605",1
"27",2022,"0606",1
"28",2022,"0607",1
"29",2022,"0608",0
"30",2022,"0609",1
"31",2022,"0610",1
"32",2022,"0611",1
"33",2022,"0612",1
"34",2022,"0613",1
"35",2022,"0614",1
"36",2022,"0615",1
"37",2022,"0616",1
"38",2022,"0617",1
"39",2022,"0618",1
"40",2022,"0619",1
"41",2022,"0620",1
"42",2022,"0621",0
"43",2022,"0622",0
"44",2022,"0623",0
"45",2022,"0624",1
"46",2022,"0625",0
"47",2022,"0626",1
"48",2022,"0627",1
"49",2022,"0628",1
"50",2022,"0629",1
"51",2022,"0630",1
"52",2022,"0631",1
"53",2022,"0632",1
"54",2022,"0633",1
"55",2022,"0634",1
"56",2022,"0635",1
"57",2022,"0636",1
"58",2022,"0637",1
"59",2022,"0638",1
"60",2022,"0639",0
"61",2022,"0640",1
"62",2022,"0641",1
"63",2022,"0642",0
"64",2022,"0643",1
"65",2022,"0644",1
"66",2022,"0645",1
"67",2022,"0646",1
"68",2022,"0647",1
"69",2022,"0648",0
"70",2022,"0649",1
"71",2022,"0650",0
"72",2022,"0651",1
"73",2022,"0652",1
"74",2022,"0653",1
"75",2022,"0801",1
"76",2022,"0802",1
"77",2022,"0803",0
"78",2022,"0804",0
"79",2022,"0805",0
"80",2022,"0806",1
"81",2022,"0807",1
"82",2022,"0901",1
"83",2022,"0902",1
"84",2022,"0903",1
"85",2022,"0904",1
"86",2022,"0905",1
"87",2022,"1000",1
"88",2022,"1201",0
"89",2022,"1202",0
"90",2022,"1203",0
"91",2022,"1204",0
"92",2022,"1205",1
"93",2022,"1206",0
"94",2022,"1207",1
"95",2022,"1208",0
"96",2022,"1209",1
"97",2022,"1210",1
"98",2022,"1211",0
"99",2022,"1212",0
"100",2022,"1213",1
"101",2022,"1214",1
"102",2022,"1215",0
"103",2022,"1216",0
"104",2022,"1217",0
"105",2022,"1218",0
"106",2022,"1219",0
"107",2022,"1220",1
"108",2022,"1221",1
"109",2022,"1222",1
"110",2022,"1223",1
"111",2022,"1224",1
"112",2022,"1225",0
"113",2022,"1226",0
"114",2022,"1227",0
"115",2022,"1301",0
"116",2022,"1302",1
"117",2022,"1303",0
"118",2022,"1304",1
"119",2022,"1305",1
"120",2022,"1306",1
"121",2022,"1307",1
"122",2022,"1308",0
"123",2022,"1309",0
"124",2022,"1310",0
"125",2022,"1311",0
"126",2022,"1312",0
"127",2022,"1313",1
"128",2022,"1314",0
"129",2022,"1501",1
"130",2022,"1502",1
"131",2022,"1601",0
"132",2022,"1602",0
"133",2022,"1701",1
"134",2022,"1702",1
"135",2022,"1703",1
"136",2022,"1704",1
"137",2022,"1705",1
"138",2022,"1706",1
"139",2022,"1707",1
"140",2022,"1708",1
"141",2022,"1709",1
"142",2022,"1710",1
"143",2022,"1711",1
"144",2022,"1712",0
"145",2022,"1713",0
"146",2022,"1714",1
"147",2022,"1715",0
"148",2022,"1716",0
"149",2022,"1717",1
"150",2022,"1718",0
"151",2022,"1801",1
"152",2022,"1802",0
"153",2022,"1803",0
"154",2022,"1804",0
"155",2022,"1805",0
"156",2022,"1806",0
"157",2022,"1807",1
"158",2022,"1808",0
"159",2022,"1809",0
"160",2022,"1901",0
"161",2022,"1902",0
"162",2022,"1903",1
"163",2022,"1904",0
"164",2022,"2001",0
"165",2022,"2002",0
"166",2022,"2003",1
"167",2022,"2004",0
"168",2022,"2101",0
"169",2022,"2102",0
"170",2022,"2103",1
"171",2022,"2104",0
"172",2022,"2105",0
"173",2022,"2106",0
"174",2022,"2201",0
"175",2022,"2203",0
"176",2022,"2204",0
"177",2022,"2202",1
"178",2022,"2205",0
"179",2022,"2205",0
"180",2022,"2206",0
"181",2022,"2301",1
"182",2022,"2302",1
"183",2022,"2401",0
"184",2022,"2402",1
"185",2022,"2403",1
"186",2022,"2404",1
"187",2022,"2405",1
"188",2022,"2406",1
"189",2022,"2407",1
"190",2022,"2408",1
"191",2022,"2501",1
"192",2022,"2502",1
"193",2022,"2503",1
"194",2022,"2504",1
"195",2022,"2505",1
"196",2022,"2506",1
"197",2022,"2507",1
"198",2022,"2508",1
"199",2022,"2509",1
"200",2022,"2601",0
"201",2022,"2602",0
"202",2022,"2603",0
"203",2022,"2604",0
"204",2022,"2605",1
"205",2022,"2606",0
"206",2022,"2607",0
"207",2022,"2608",1
"208",2022,"2609",1
"209",2022,"2610",0
"210",2022,"2611",1
"211",2022,"2612",1
"212",2022,"2613",1
"213",2022,"2614",1
"214",2022,"2701",0
"215",2022,"2702",1
"216",2022,"2703",1
"217",2022,"2704",1
"218",2022,"2705",1
"219",2022,"2706",0
"220",2022,"2707",0
"221",2022,"2708",0
"222",2022,"2801",0
"223",2022,"2802",1
"224",2022,"2803",0
"225",2022,"2804",0
"226",2022,"2901",1
"227",2022,"2902",0
"228",2022,"2903",0
"229",2022,"2904",0
"230",2022,"2905",1
"231",2022,"2906",0
"232",2022,"2907",0
"233",2022,"2908",0
"234",2022,"3000",0
"235",2022,"3101",0
"236",2022,"3102",0
"237",2022,"3103",0
"238",2022,"3201",1
"239",2022,"3202",0
"240",2022,"3203",1
"241",2022,"3204",1
"242",2022,"3301",1
"243",2022,"3302",1
"244",2022,"3401",1
"245",2022,"3402",0
"246",2022,"3403",1
"247",2022,"3404",0
"248",2022,"3405",1
"249",2022,"3406",1
"250",2022,"3407",1
"251",2022,"3408",1
"252",2022,"3409",1
"253",2022,"3410",1
"254",2022,"3411",1
"255",2022,"3412",1
"256",2022,"3501",1
"257",2022,"3502",0
"258",2022,"3503",1
"259",2022,"3601",0
"260",2022,"3602",0
"261",2022,"3603",1
"262",2022,"3604",1
"263",2022,"3605",1
"264",2022,"3606",1
"265",2022,"3607",1
"266",2022,"3608",1
"267",2022,"3609",1
"268",2022,"3610",1
"269",2022,"3611",0
"270",2022,"3612",1
"271",2022,"3613",1
"272",2022,"3614",1
"273",2022,"3615",1
"274",2022,"3616",1
"275",2022,"3617",1
"276",2022,"3618",1
"277",2022,"3619",1
"278",2022,"3620",1
"279",2022,"3621",0
"280",2022,"3622",0
"281",2022,"3623",0
"282",2022,"3624",0
"283",2022,"3625",1
"284",2022,"3626",1
"285",2022,"3627",0
"286",2022,"3701",1
"287",2022,"3702",1
"288",2022,"3703",0
"289",2022,"3704",1
"290",2022,"3705",0
"291",2022,"3706",1
"292",2022,"3707",0
"293",2022,"3708",0
"294",2022,"3709",0
"295",2022,"3710",0
"296",2022,"3711",0
"297",2022,"3712",1
"298",2022,"3713",0
"299",2022,"3800",0
"300",2022,"3901",0
"301",2022,"3902",0
"302",2022,"3903",1
"303",2022,"3904",0
"304",2022,"3905",0
"305",2022,"3906",0
"306",2022,"3907",0
"307",2022,"3908",0
"308",2022,"3909",1
"309",2022,"3910",0
"310",2022,"3911",1
"311",2022,"3912",0
"312",2022,"3913",1
"313",2022,"3914",0
"314",2022,"3915",0
"315",2022,"3916",0
"316",2022,"4001",0
"317",2022,"4002",0
"318",2022,"4003",0
"319",2022,"4004",0
"320",2022,"4005",0
"321",2022,"4101",1
"322",2022,"4102",0
"323",2022,"4103",1
"324",2022,"4104",1
"325",2022,"4105",1
"326",2022,"4201",0
"327",2022,"4202",1
"328",2022,"4203",1
"329",2022,"4204",1
"330",2022,"4205",1
"331",2022,"4206",1
"332",2022,"4207",1
"333",2022,"4208",1
"334",2022,"4209",0
"335",2022,"4210",0
"336",2022,"4211",0
"337",2022,"4212",0
"338",2022,"4213",0
"339",2022,"4214",0
"340",2022,"4215",0
"341",2022,"4216",0
"342",2022,"4217",1
"343",2022,"4218",1
"344",2022,"4402",1
"345",2022,"4401",1
"346",2022,"4501",0
"347",2022,"4502",0
"348",2022,"4503",0
"349",2022,"4504",0
"350",2022,"4505",0
"351",2022,"4506",1
"352",2022,"4507",0
"353",2022,"4600",0
"354",2022,"4701",0
"355",2022,"4702",0
"356",2022,"4703",0
"357",2022,"4704",0
"358",2022,"4705",1
"359",2022,"4706",0
"360",2022,"4707",0
"361",2022,"4708",0
"362",2022,"4709",1
"363",2022,"4801",0
"364",2022,"4802",0
"365",2022,"4803",0
"366",2022,"4804",0
"367",2022,"4805",0
"368",2022,"4806",0
"369",2022,"4807",1
"370",2022,"4808",0
"371",2022,"4809",1
"372",2022,"4810",0
"373",2022,"4811",0
"374",2022,"4812",0
"375",2022,"4813",0
"376",2022,"4814",0
"377",2022,"4815",1
"378",2022,"4816",1
"379",2022,"4817",0
"380",2022,"4818",1
"381",2022,"4819",0
"382",2022,"4820",1
"383",2022,"4821",0
"384",2022,"4822",0
"385",2022,"4823",0
"386",2022,"4824",0
"387",2022,"4825",0
"388",2022,"4826",0
"389",2022,"4827",0
"390",2022,"4828",1
"391",2022,"4829",1
"392",2022,"4830",1
"393",2022,"4831",0
"394",2022,"4832",1
"395",2022,"4834",1
"396",2022,"4833",1
"397",2022,"4835",1
"398",2022,"4836",0
"399",2022,"4901",0
"400",2022,"4902",0
"401",2022,"4903",0
"402",2022,"4904",0
"403",2022,"5000",1
"404",2022,"5101",0
"405",2022,"5102",1
"406",2022,"5103",1
"407",2022,"5104",1
"408",2022,"5105",0
"409",2022,"5106",0
"410",2022,"5107",1
"411",2022,"5108",1
"412",2022,"5109",0
"413",2022,"5110",1
"414",2022,"5111",1
"415",2022,"5301",1
"416",2022,"5302",1
"417",2022,"5303",0
"418",2022,"5304",0
"419",2022,"5305",0
"420",2022,"5306",1
"421",2022,"5307",1
"422",2022,"5308",1
"423",2022,"5309",1
"424",2022,"5310",1
"425",2022,"5401",0
"426",2022,"5402",0
"427",2022,"5403",0
"428",2022,"5501",0
"429",2022,"5502",1
"430",2022,"5503",1
"431",2022,"5504",1
"432",2022,"5505",0
"433",2022,"5506",0
"434",2022,"5507",0
"435",2022,"5508",0
"436",2022,"5600",0
"437",2020,"0101",0
"438",2020,"0102",0
"439",2020,"0103",0
"440",2020,"0104",0
"441",2020,"0105",0
"442",2020,"0106",0
"443",2020,"0107",1
"444",2020,"0200",0
"445",2020,"0401",1
"446",2020,"0402",1
"447",2020,"0403",1
"448",2020,"0404",0
"449",2020,"0405",0
"450",2020,"0406",0
"451",2020,"0407",1
"452",2020,"0408",0
"453",2020,"0409",1
"454",2020,"0501",0
"455",2020,"0502",0
"456",2020,"0503",0
"457",2020,"0504",0
"458",2020,"0601",0
"459",2020,"0602",1
"460",2020,"0603",1
"461",2020,"0604",0
"462",2020,"0605",1
"463",2020,"0606",1
"464",2020,"0607",1
"465",2020,"0608",0
"466",2020,"0609",1
"467",2020,"0610",1
"468",2020,"0611",1
"469",2020,"0612",1
"470",2020,"0613",1
"471",2020,"0614",1
"472",2020,"0615",1
"473",2020,"0616",1
"474",2020,"0617",1
"475",2020,"0618",1
"476",2020,"0619",1
"477",2020,"0620",1
"478",2020,"0621",1
"479",2020,"0622",0
"480",2020,"0623",0
"481",2020,"0624",1
"482",2020,"0625",1
"483",2020,"0626",1
"484",2020,"0627",1
"485",2020,"0628",1
"486",2020,"0629",1
"487",2020,"0630",1
"488",2020,"0631",1
"489",2020,"0632",1
"490",2020,"0633",1
"491",2020,"0634",1
"492",2020,"0635",1
"493",2020,"0636",1
"494",2020,"0637",1
"495",2020,"0638",1
"496",2020,"0639",1
"497",2020,"0640",1
"498",2020,"0641",1
"499",2020,"0642",0
"500",2020,"0643",1
"501",2020,"0644",1
"502",2020,"0645",1
"503",2020,"0646",1
"504",2020,"0647",1
"505",2020,"0648",1
"506",2020,"0649",1
"507",2020,"0650",0
"508",2020,"0651",1
"509",2020,"0652",1
"510",2020,"0653",1
"511",2020,"0801",1
"512",2020,"0802",1
"513",2020,"0803",0
"514",2020,"0804",0
"515",2020,"0805",0
"516",2020,"0806",1
"517",2020,"0807",1
"518",2020,"0901",1
"519",2020,"0902",1
"520",2020,"0903",1
"521",2020,"0904",1
"522",2020,"0905",1
"523",2020,"1000",1
"524",2020,"1201",0
"525",2020,"1202",0
"526",2020,"1203",0
"527",2020,"1204",0
"528",2020,"1205",1
"529",2020,"1206",0
"530",2020,"1207",1
"531",2020,"1208",0
"532",2020,"1209",1
"533",2020,"1210",1
"534",2020,"1211",0
"535",2020,"1212",0
"536",2020,"1213",1
"537",2020,"1214",1
"538",2020,"1215",0
"539",2020,"1216",0
"540",2020,"1217",0
"541",2020,"1218",0
"542",2020,"1219",0
"543",2020,"1220",1
"544",2020,"1221",1
"545",2020,"1222",1
"546",2020,"1224",1
"547",2020,"1225",0
"548",2020,"1226",1
"549",2020,"1227",1
"550",2020,"1301",0
"551",2020,"1223",1
"552",2020,"1302",1
"553",2020,"1303",0
"554",2020,"1304",1
"555",2020,"1305",1
"556",2020,"1306",1
"557",2020,"1307",0
"558",2020,"1308",0
"559",2020,"1309",0
"560",2020,"1310",0
"561",2020,"1311",0
"562",2020,"1312",0
"563",2020,"1313",1
"564",2020,"1314",0
"565",2020,"1501",1
"566",2020,"1502",1
"567",2020,"1601",0
"568",2020,"1602",0
"569",2020,"1701",1
"570",2020,"1702",1
"571",2020,"1703",1
"572",2020,"1704",1
"573",2020,"1705",1
"574",2020,"1706",1
"575",2020,"1707",1
"576",2020,"1708",1
"577",2020,"1709",1
"578",2020,"1710",1
"579",2020,"1711",1
"580",2020,"1712",0
"581",2020,"1713",0
"582",2020,"1714",1
"583",2020,"1715",0
"584",2020,"1716",0
"585",2020,"1717",1
"586",2020,"1718",0
"587",2020,"1801",1
"588",2020,"1802",0
"589",2020,"1803",0
"590",2020,"1804",0
"591",2020,"1805",0
"592",2020,"1806",0
"593",2020,"1807",1
"594",2020,"1808",0
"595",2020,"1809",0
"596",2020,"1901",1
"597",2020,"1902",1
"598",2020,"1903",1
"599",2020,"1904",0
"600",2020,"2001",0
"601",2020,"2002",0
"602",2020,"2003",1
"603",2020,"2004",0
"604",2020,"2101",0
"605",2020,"2102",0
"606",2020,"2103",1
"607",2020,"2104",0
"608",2020,"2105",0
"609",2020,"2106",0
"610",2020,"2201",0
"611",2020,"2202",1
"612",2020,"2203",0
"613",2020,"2204",0
"614",2020,"2205",0
"615",2020,"2206",0
"616",2020,"2301",1
"617",2020,"2302",0
"618",2020,"2302",1
"619",2020,"2401",0
"620",2020,"2402",1
"621",2020,"2403",1
"622",2020,"2404",1
"623",2020,"2407",1
"624",2020,"2405",1
"625",2020,"2406",1
"626",2020,"2408",1
"627",2020,"2501",1
"628",2020,"2502",1
"629",2020,"2503",1
"630",2020,"2504",1
"631",2020,"2505",1
"632",2020,"2506",1
"633",2020,"2507",1
"634",2020,"2508",1
"635",2020,"2509",1
"636",2020,"2601",0
"637",2020,"2602",0
"638",2020,"2603",0
"639",2020,"2604",0
"640",2020,"2605",1
"641",2020,"2606",0
"642",2020,"2607",0
"643",2020,"2608",1
"644",2020,"2609",1
"645",2020,"2610",0
"646",2020,"2611",1
"647",2020,"2612",1
"648",2020,"2613",1
"649",2020,"2614",1
"650",2020,"2701",0
"651",2020,"2702",1
"652",2020,"2703",1
"653",2020,"2704",1
"654",2020,"2705",1
"655",2020,"2706",0
"656",2020,"2707",1
"657",2020,"2708",0
"658",2020,"2801",0
"659",2020,"2802",1
"660",2020,"2803",0
"661",2020,"2804",0
"662",2020,"2901",1
"663",2020,"2902",0
"664",2020,"2903",0
"665",2020,"2904",0
"666",2020,"2905",1
"667",2020,"2906",0
"668",2020,"2907",0
"669",2020,"2908",0
"670",2020,"3000",0
"671",2020,"3101",0
"672",2020,"3102",0
"673",2020,"3103",0
"674",2020,"3201",1
"675",2020,"3202",0
"676",2020,"3203",1
"677",2020,"3204",1
"678",2020,"3301",1
"679",2020,"3302",1
"680",2020,"3401",1
"681",2020,"3402",1
"682",2020,"3403",1
"683",2020,"3404",0
"684",2020,"3405",1
"685",2020,"3406",1
"686",2020,"3407",1
"687",2020,"3408",1
"688",2020,"3409",1
"689",2020,"3411",1
"690",2020,"3412",1
"691",2020,"3501",1
"692",2020,"3410",1
"693",2020,"3502",1
"694",2020,"3503",1
"695",2020,"3601",0
"696",2020,"3602",0
"697",2020,"3603",1
"698",2020,"3604",1
"699",2020,"3605",1
"700",2020,"3606",1
"701",2020,"3607",1
"702",2020,"3608",1
"703",2020,"3609",1
"704",2020,"3610",1
"705",2020,"3611",1
"706",2020,"3612",1
"707",2020,"3613",1
"708",2020,"3614",1
"709",2020,"3615",1
"710",2020,"3616",1
"711",2020,"3617",1
"712",2020,"3618",1
"713",2020,"3903",1
"714",2020,"3904",0
"715",2020,"3905",0
"716",2020,"3619",1
"717",2020,"3620",1
"718",2020,"3621",0
"719",2020,"3622",1
"720",2020,"3623",0
"721",2020,"3624",0
"722",2020,"3625",1
"723",2020,"3626",1
"724",2020,"3627",0
"725",2020,"3701",1
"726",2020,"3702",0
"727",2020,"3703",0
"728",2020,"3704",1
"729",2020,"3705",0
"730",2020,"3706",0
"731",2020,"3707",0
"732",2020,"3708",0
"733",2020,"3709",0
"734",2020,"3710",0
"735",2020,"3711",0
"736",2020,"3712",1
"737",2020,"3713",0
"738",2020,"3800",0
"739",2020,"3901",0
"740",2020,"3902",0
"741",2020,"3906",0
"742",2020,"3907",0
"743",2020,"3908",0
"744",2020,"3909",1
"745",2020,"3910",0
"746",2020,"3911",1
"747",2020,"3912",0
"748",2020,"3913",1
"749",2020,"3914",0
"750",2020,"3915",0
"751",2020,"3916",0
"752",2020,"4001",0
"753",2020,"4002",0
"754",2020,"4003",0
"755",2020,"4004",0
"756",2020,"4005",1
"757",2020,"4101",1
"758",2020,"4102",0
"759",2020,"4103",1
"760",2020,"4104",1
"761",2020,"4105",1
"762",2020,"4201",0
"763",2020,"4202",1
"764",2020,"4203",1
"765",2020,"4204",1
"766",2020,"4205",1
"767",2020,"4206",1
"768",2020,"4207",1
"769",2020,"4208",1
"770",2020,"4209",0
"771",2020,"4210",0
"772",2020,"4211",0
"773",2020,"4212",0
"774",2020,"4213",0
"775",2020,"4214",0
"776",2020,"4215",0
"777",2020,"4216",0
"778",2020,"4217",1
"779",2020,"4218",1
"780",2020,"4401",1
"781",2020,"4402",1
"782",2020,"4501",1
"783",2020,"4502",0
"784",2020,"4503",0
"785",2020,"4504",0
"786",2020,"4505",0
"787",2020,"4506",1
"788",2020,"4507",0
"789",2020,"4600",0
"790",2020,"4701",0
"791",2020,"4703",0
"792",2020,"4704",0
"793",2020,"4705",1
"794",2020,"4702",0
"795",2020,"4706",0
"796",2020,"4707",0
"797",2020,"4708",0
"798",2020,"4709",1
"799",2020,"4801",0
"800",2020,"4802",0
"801",2020,"4803",0
"802",2020,"4804",0
"803",2020,"4805",0
"804",2020,"4806",0
"805",2020,"4807",1
"806",2020,"4808",0
"807",2020,"4809",1
"808",2020,"4810",0
"809",2020,"4811",0
"810",2020,"4812",0
"811",2020,"4813",0
"812",2020,"4814",0
"813",2020,"4815",1
"814",2020,"4816",1
"815",2020,"4817",0
"816",2020,"4818",1
"817",2020,"4819",0
"818",2020,"4820",1
"819",2020,"4821",0
"820",2020,"4822",0
"821",2020,"4823",0
"822",2020,"4824",0
"823",2020,"4825",0
